(class, class, 1)
(ID, box, 1)
((, , 1)
(), , 1)
(:, , 1)
(nl, \n, 1)
(IndentInit, 8, 2)
(ID, abc, 2)
(=, =, 2)
(ID, c, 2)
(=, =, 2)
(ID, b, 2)
(=, =, 2)
(int_const, 0, 2)
(nl, \n, 2)
(accessModifier, private, 3)
(ID, a, 3)
(=, =, 3)
(int_const, 1, 3)
(nl, \n, 3)
(def, def, 4)
(DT, int, 4)
(accessModifier, private, 4)
(final, $, 4)
(ID, abc, 4)
((, , 4)
(DT, int, 4)
(ID, a, 4)
(,, , 4)
(DT, int, 4)
(*, *, 4)
(ID, b, 4)
(), , 4)
(:, , 4)
(nl, \n, 4)
(IndentInit, 16, 5)
(del, del, 5)
(ID, abc, 5)
(nl, \n, 5)
(ID, a, 6)
(=, =, 6)
(int_const, 1, 6)
(nl, \n, 6)
(ID, a, 7)
(=, =, 7)
(ID, b, 7)
(PM, +, 7)
(ID, c, 7)
(*, *, 7)
(int_const, 2, 7)
(DM, /, 7)
(int_const, 5, 7)
(nl, \n, 7)
(if, if, 8)
((, , 8)
(ID, a, 8)
(PM, +, 8)
(ID, b, 8)
(RelOp, <, 8)
(ID, c, 8)
(DM, /, 8)
(int_const, 3, 8)
(And, And, 8)
(int_const, 34, 8)
(*, *, 8)
(ID, b, 8)
(RelOp, !=, 8)
(ID, b, 8)
(), , 8)
(:, , 8)
(nl, \n, 8)
(IndentInit, 24, 9)
(del, del, 9)
(ID, c, 9)
(nl, \n, 9)
(IndentOut, 16, 10)
(IndentOut, 8, 10)
(ID, a, 10)
(=, =, 10)
(int_const, 1, 10)
(nl, \n, 10)
(ID, a, 11)
(=, =, 11)
(ID, b, 11)
(PM, +, 11)
(ID, c, 11)
(*, *, 11)
(int_const, 2, 11)
(DM, /, 11)
(int_const, 5, 11)
(nl, \n, 11)
(IndentOut, 0, 12)
(ID, a, 12)
(=, =, 12)
(int_const, 1, 12)
(nl, \n, 12)
(ID, a, 13)
(=, =, 13)
(ID, b, 13)
(PM, +, 13)
(ID, c, 13)
(*, *, 13)
(int_const, 2, 13)
(DM, /, 13)
(int_const, 5, 13)
(nl, \n, 13)
(if, if, 15)
((, , 15)
(ID, a, 15)
(), , 15)
(:, , 15)
(if, if, 15)
((, , 15)
(ID, a, 15)
(), , 15)
(:, , 15)
(pass, pass, 15)
(nl, \n, 15)
(if, if, 16)
((, , 16)
(ID, a, 16)
(), , 16)
(:, , 16)
(while, while, 16)
((, , 16)
(ID, a, 16)
(), , 16)
(:, , 16)
(ID, a, 16)
(=, =, 16)
(int_const, 1, 16)
(nl, \n, 16)
(if, if, 17)
((, , 17)
(ID, a, 17)
(), , 17)
(:, , 17)
(if, if, 17)
((, , 17)
(ID, a, 17)
(), , 17)
(:, , 17)
(pass, pass, 17)
(nl, \n, 17)
(while, while, 18)
((, , 18)
(ID, a, 18)
(), , 18)
(:, , 18)
(if, if, 18)
((, , 18)
(ID, a, 18)
(), , 18)
(:, , 18)
(pass, pass, 18)
(nl, \n, 18)
(EOF, ~, 21)
